,site_ID,plot,horizon,top_depth.cm,bottom_depth.cm,thickness.cm,,,,,,,,,,,,,,,
222,DSNY,1,EB,26.0,37.0,11.0,,,,,,,,,,,,,,,
223,DSNY,1,Bh,37.0,48.0,11.0,,,,,,,,,,,,,,,
224,DSNY,1,E',48.0,118.5,70.5,,,,,,,,,,,,,,,
225,DSNY,2,A,0.0,11.5,11.5,,,,,,,,,,,,,,,
226,DSNY,2,EA,11.5,24.0,12.5,,,,,,,,,,,,,,,
227,DSNY,2,E,24.0,38.0,14.0,,,,,,,,,,,,,,,
228,DSNY,2,Bh1,38.0,49.0,11.0,,,,,,,,,,,,,,,
229,DSNY,2,Bh2,49.0,70.5,21.5,,,,,,,,,,,,,,,
230,DSNY,2,E',70.5,134.0,63.5,,,,,,,,,,,,,,,
231,DSNY,2,Bh',134.0,161.0,27.0,,,,,,,,,,,,,,,
232,DSNY,3,A,0.0,10.5,10.5,,,,,,,,,,,,,,,
233,DSNY,3,E,10.5,29.0,18.5,,,,,,,,,,,,,,,
234,DSNY,3,Bh1,29.0,34.0,5.0,,,,,,,,,,,,,,,
235,DSNY,3,Bh2,37.0,48.0,11.0,,,,,,,,,,,,,,,
236,DSNY,3,E'1,48.0,110.0,62.0,,,,,,,,,,,,,,,
237,DSNY,3,E'2,110.0,152.5,42.5,,,,,,,,,,,,,,,
238,DSNY,3,B'h,152.5,158.5,6.0,,,,,,,,,,,,,,,
239,DSNY,4,A,0.0,13.0,13.0,,,,,,,,,,,,,,,
240,DSNY,4,E,13.0,36.5,23.5,,,,,,,,,,,,,,,
241,DSNY,4,Bh1,36.5,43.5,7.0,,,,,,,,,,,,,,,
242,DSNY,4,Bh2,43.5,67.5,24.0,,,,,,,,,,,,,,,
243,DSNY,4,E'1,67.5,129.5,62.0,,,,,,,,,,,,,,,
244,DSNY,4,B'h,129.5,163.0,33.5,,,,,,,,,,,,,,,
245,DSNY,5,A,0.0,8.0,8.0,,,,,,,,,,,,,,,
246,DSNY,5,E,8.0,30.0,22.0,,,,,,,,,,,,,,,
