"","siteID","HOR.VER","name","description","start","end","referenceName","referenceDescription","referenceStart","referenceEnd","xOffset","yOffset","zOffset","pitch","roll","azimuth","referenceLatitude","referenceLongitude","referenceElevation","publicationDate"
"71","HEAL","004.509","CFGLOC102324","Healy Soil Temp Profile SP4, Z9 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-1.66,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"72","HEAL","004.509","CFGLOC102324","Healy Soil Temp Profile SP4, Z9 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-1.36,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"73","HEAL","005.501","CFGLOC102338","Healy Soil Temp Profile SP5, Z1 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.02,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"74","HEAL","005.501","CFGLOC102338","Healy Soil Temp Profile SP5, Z1 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,0.25,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"75","HEAL","005.502","CFGLOC102340","Healy Soil Temp Profile SP5, Z2 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.06,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"76","HEAL","005.502","CFGLOC102340","Healy Soil Temp Profile SP5, Z2 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,0.21,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"77","HEAL","005.503","CFGLOC102342","Healy Soil Temp Profile SP5, Z3 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.16,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"78","HEAL","005.503","CFGLOC102342","Healy Soil Temp Profile SP5, Z3 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,0.11,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"79","HEAL","005.504","CFGLOC102344","Healy Soil Temp Profile SP5, Z4 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.26,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"80","HEAL","005.504","CFGLOC102344","Healy Soil Temp Profile SP5, Z4 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,0.01,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"81","HEAL","005.505","CFGLOC102346","Healy Soil Temp Profile SP5, Z5 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.36,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"82","HEAL","005.505","CFGLOC102346","Healy Soil Temp Profile SP5, Z5 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.09,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"83","HEAL","005.506","CFGLOC102348","Healy Soil Temp Profile SP5, Z6 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.46,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"84","HEAL","005.506","CFGLOC102348","Healy Soil Temp Profile SP5, Z6 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.19,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"85","HEAL","005.507","CFGLOC102350","Healy Soil Temp Profile SP5, Z7 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.66,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"86","HEAL","005.507","CFGLOC102350","Healy Soil Temp Profile SP5, Z7 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.39,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
"87","HEAL","005.508","CFGLOC102352","Healy Soil Temp Profile SP5, Z8 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102326","Healy Soil Plot, SP5","2010-01-01T00:00:00Z",NA,3.1,0.98,-0.96,0.6,0,350,63.87441,-149.216237,685.4,"20200819T214703Z"
